"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","without","arrest","also","one","victim","rude","fail","vehicl","citat","inform","male","hour","stop","traffic","call"
"2","justif","fals","case","take","handcuf","state","incid","car","issu","district","unknown","sergeant","weapon","son","refus"
"3","search","offend","phone","reason","back","unprofession","return","licens","harass","state","white","depart","partyvictim","order","provid"
"4","resid","caus","fail","verbal","threw","told","wit","driver","citi","station","uniform","locat","detain","refer","fail"
"5","warrant","threaten","member","state","face","fuck","inventori","drive","direct","accid","black","detect","card","state","respond"
"6","enter","batteri","investig","abus","push","get","properti","park","park","telephon","state","iti","gun","court","regard"
"7","door","medic","use","action","friend","ask","person","ticket","star","went","femal","duti","situat","sign","file"
"8","apart","still","affidavit","alterc","pull","made","remov","drove","continu","told","subject","approxim","drug","husband","state"
"9","home","scene","conduct","light","grab","yell","usc","tow","repeat","involv","possibl","proper","type","children","request"
"10","permiss","charg","cell","year","struck","dont","secur","pull","two","identifi","name","work","identif","child","assist"
"11","damag","possess","assault","brother","head","said","took","exit","log","spoke","two","fail","victimoffend","mother","servic"
"12","execut","batter","famili","activ","taser","threaten","damag","impound","three","obtain","hispan","time","point","violat","complaint"
"13","front","probabl","complet","appar","ground","shut","key","plate","number","stolen","plaincloth","assign","took","effect","name"
"14","open","plaintiff","illeg","time","forc","toward","money","squad","issuanc","bus","side","jame","arm","protect","number"
"15","look","injuri","build","peopl","tight","ass","miss","mark","sticker","receiv","sever","halper","found","today","scene"
"16","oct","crimin","thorough","physic","transport","back","daughter","street","time","address","manner","joseph","check","word","time"
"17","kick","attent","cellular","disput","punch","walk","dog","block","text","make","process","unit","plant","custodi","upon"
"18","floor","sustain","regard","landlord","arm","question","wallet","front","receiv","ask","stori","may","pay","date","allow"
"19","sever","crime","document","involv","bodi","give","discov","struck","profan","wait","one","webb","bag","time","neighbor"
"20","broke","pretens","burglari","old","kick","hand","item","beat","date","leav","person","record","individu","current","arriv"
